,author_id,author
399,400,Mark Waid/Alex Ross/Elliot S. Maggin
400,401,Mark Z. Danielewski
401,402,Markus Zusak/Cao Xuân Việt Khương
402,403,Markus Zusak/Emmanuel Pailler
403,404,Mary Higgins Clark
404,405,Mary Karr
405,406,Mary Roach
406,407,Maureen Johnson
407,408,Max Brooks
408,409,Meg Cabot
409,410,Megan Whalen Turner
410,411,Mercedes Lackey
411,412,Michael   Lewis
412,413,Michael Chabon
413,414,Michael Connelly
414,415,Michael Crichton
415,416,Michael Pollan
416,417,Miep Gies/Alison Leslie Gold
417,418,Miguel de Cervantes Saavedra/John Rutherford/Roberto González Echevarría
418,419,Mike Carey/Glenn Fabry/Neil Gaiman
419,420,Milan Kundera/Michael Henry Heim
420,421,Mitch Albom
421,422,Naomi Novik
422,423,Napoleon Hill
423,424,Nassim Nicholas Taleb
424,425,Nathaniel Hawthorne/Thomas E. Connolly/Nina Baym
425,426,Nathaniel Philbrick
426,427,Neal Stephenson
427,428,Neal Stephenson/Guy Abadia
428,429,Neal Stephenson/Pedro Jorge Romero
429,430,Neil Gaiman
430,431,Neil Gaiman/Andy Kubert/Richard Isanove/Peter Sanderson/Todd Klein
431,432,Neil Gaiman/Bryan Talbot/Stan Woch/P. Craig Russell/Shawn McManus/John Watkiss/Jill Thompson/Duncan Eagleson/Kent Williams/Todd Klein
432,433,Neil Gaiman/Chris Bachalo/Mark Buckingham/Tori Amos
433,434,Neil Gaiman/Dave McKean
434,435,Neil Gaiman/Kelley Jones/Charles Vess/Colleen Doran/Malcolm Jones III/Steve Erickson
435,436,Neil Gaiman/Matt Wagner/George Pratt/Dick Giordano/Kelley Jones/P. Craig Russell/Mike Dringenberg/Malcolm Jones III/Todd Klein/Harlan Ellison
436,437,Neil Gaiman/Michael Zulli/Jon J. Muth/Charles Vess/Mikal Gilmore
437,438,Neil Gaiman/Mike Allred/Gary Amaro/Mark Buckingham/David Giordano/Tony Harris/Steve Leialoha/Vince Locke/Shea Anton Pensa/Alec Stevens/Bryan Talbot/John Watkiss/Todd Klein/Michael Zulli/Stephen King
438,439,Neil Gaiman/Sam Kieth/Mike Dringenberg/Malcolm Jones III/Todd Klein/Karen  Berger
439,440,Neil Gaiman/Shawn McManus/Colleen Doran/Bryan Talbot/George Pratt/Stan Woch/Dick Giordano/Todd Klein
440,441,Neil Gaiman/Steve Parkhouse/Chris Bachalo/Michael Zulli/Mike Dringenberg/Malcolm Jones III/Todd Klein/Clive Barker
441,442,Nelson DeMille
442,443,Newt Scamander/J.K. Rowling
443,444,Niccolò Machiavelli/Rufus Goodwin/Benjamin Martinez
444,445,Nicholas Sparks
445,446,Nicholas Sparks/Micah Sparks
446,447,Nick Hornby
447,448,Nicole Krauss
448,449,Nigella Lawson
449,450,Nikolai Gogol/Robert A. Maguire/Zlatko Crnković
450,451,Nora Ephron
451,452,Nora Roberts
452,453,Orson Scott Card
453,454,Orson Scott Card/Piotr W. Cholewa
454,455,Oscar Wilde
455,456,Oscar Wilde/Jeffrey Eugenides
456,457,Ovid/David Raeburn/Denis Feeney
457,458,P.C. Cast/Kristin Cast
458,459,Pablo Neruda/W.S. Merwin/Cristina García
459,460,Pat Conroy
460,461,Pat Frank
461,462,Patricia Cornwell
462,463,Patricia Cornwell/C.J. Critt
463,464,Patricia Daniels Cornwell/Patricia Cornwell
464,465,Patricia Schultz
465,466,Patrick Lencioni
466,467,Paul Auster/Art Spiegelman/Luc Sante
467,468,Paulo Coelho/Alan R. Clarke
468,469,Paulo Coelho/Alan R. Clarke/Özdemir İnce
469,470,Paulo Coelho/Amanda Hopkinson/Nick Caistor
470,471,Paulo Coelho/Margaret Jull Costa
471,472,Paulo Coelho/Margaret Jull Costa/Kâmuran Şipal
472,473,Pearl S. Buck
473,474,Peter F. Hamilton
474,475,Peter Mayle
475,476,Peter Straub
476,477,Philip K. Dick
477,478,Philip K. Dick/David Alabort/Manuel Espín
478,479,Philip Pullman
479,480,Philip Roth
480,481,Philippa Gregory
481,482,Plato/Desmond Lee/Maria Helena da Rocha Pereira/Benjamin Jowett
482,483,Primo Levi/Stuart J. Woolf/Philip Roth
483,484,Rachel Caine
484,485,Rachel Carson/Linda Lear/Edward O. Wilson
485,486,Rachel Cohn/David Levithan
486,487,Raymond Chandler
487,488,Raymond E. Feist
488,489,Richard Bach
489,490,Richard Bachman/Stephen King
490,491,Richard Dawkins
491,492,Richard Matheson
492,493,Richard P. Feynman
493,494,Richard Paige/Dean Koontz
494,495,Richard Peck
495,496,Richard Preston
496,497,Richard Wright
497,498,Rick Riordan
498,499,Roald Dahl/Quentin Blake
499,500,Robert A. Heinlein
500,501,Robert B. Cialdini
501,502,Robert Frost
502,503,Robert Graves
503,504,Robert Greene/Joost Elffers
504,505,Robert Jordan
505,506,Robert Kirkman/Tony Moore/Charlie Adlard/Cliff Rathburn
506,507,Robert Louis Stevenson
507,508,Robert Ludlum
508,509,Robert M. Pirsig
509,510,Robert Penn Warren
510,511,Robert R. McCammon
511,512,Robin Hobb
512,513,Robin McKinley
513,514,Robin S. Sharma
